id,Label 
77.0,"""[P]eople"" (praying over Ed's mother)"
58.0,"""[S]inging people"""
51.0,Billy Peace
80.0,Billy Peace's Father
81.0,Billy Peace's Mother
59.0,"Ed (""[M]ain preacher"")"
76.0,Ed's Mother
60.0,God
57.0,Jesus
,
,
28.0,Maggie Peace
5.0,Marn Wolde
53.0,Marn Wolde's Father
55.0,Marn Wolde's Grandfather
56.0,Marn Wolde's Grandmother
52.0,Marn Wolde's Mother
75.0,Satan
118.0,Virginie
23.0,"""[S]mall town stripper"""
22.0,"""[Y]oung man on a passenger train"""
21.0,"""Haskell Indian Princess"""
42.0,"""Mustache"" Maude Black"
24.0,"Agathe (""Happy"")"
48.0,Asiginak
39.0,Beryl Hoop
87.0,Chief Gall
16.0,Clemence Harp
31.0,Corwin Peace
47.0,Cuthbert Peace
74.0,Doctor (who Maude sent for)
18.0,Edward Harp
33.0,Edward's Students
67.0,Emil Buckendorf
292.0,Emil Buckendorf's First Brother
293.0,Emil Buckendorf's Second Brother
294.0,Emil Buckendorf's Third Brother
44.0,Erling Nicolai Rolfsrud
66.0,Eugene Wildstrand
3.0,Evelina Harp
14.0,Evelina's Ancestors
63.0,Frederic Vogeli
11.0,French Settlers
36.0,French Voyageur
19.0,Geraldine Milk
10.0,German Settlers
46.0,Holy Track
71.0,Husband (of the woman murdered a couple farms over
41.0,Jackie Kennedy
57.0,Jesus
26.0,John Wildstrand
326.0,Joseph (biblical figure)
17.0,Joseph Harp
34.0,Junesse Malaterre
35.0,Junesse's Aunt
37.0,Junesse's Six Younger Cousins
28.0,Maggie Peace
73.0,Man (who Ott shot in the leg)
136.0,Mary (biblical figure)
72.0,Neighbours (of Maude Black)
27.0,Neve Harp
12.0,Norwegian Settlers
29.0,Octave Harp
38.0,Off-Reservation Dentist
65.0,Oric Hoag
32.0,Other Children (in school with Evelina)
43.0,Ott Black
25.0,Priest (who Agathe left the convent for)
86.0,Seraph and Junesse's Other Children
15.0,Seraph Milk (Mooshum)
9.0,Severine Milk
