source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
519,515,"""doctor"" (Wildstrand took Neve to)",John Wildstrand,Directed,1,127,Exchange
519,518,"""doctor"" (Wildstrand took Neve to)",Neve Harp,Directed,1,127,Exchange
520,518,"""farmer"" (pulled Neve from a ditch)",Neve Harp,Directed,1,126,Knows
520,518,"""farmer"" (pulled Neve from a ditch)",Neve Harp,Directed,1,133,Knows
521,518,"""police"" (with Neve)",Neve Harp,Directed,1,126,Exchange
521,518,"""police"" (with Neve)",Neve Harp,Directed,1,134,Exchange
522,92,"""robber"" (held John up)",John F. Kennedy,Directed,1,118,Knows
510,512,Billy Peace,Billy Peace's Grandfather,Directed,1,122,Knows
510,512,Billy Peace,Billy Peace's Grandfather,Directed,1,124,Knows
510,513,Billy Peace,Billy Peace's Grandmother,Directed,1,124,Knows
510,514,Billy Peace,Billy Peace's Mother,Directed,1,122,Knows
510,307,Billy Peace,Bonnie,Directed,1,123,Knows of
510,313,Billy Peace,Corwin (Billy's best buddy),Directed,1,131,Knows
510,515,Billy Peace,John Wildstrand,Directed,1,118,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,119,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,120,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,121,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,122,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,123,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,124,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,125,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,126,Knows
510,515,Billy Peace,John Wildstrand,Directed,1,127,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,128,Knows
510,515,Billy Peace,John Wildstrand,Directed,1,129,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,130,Knows
510,515,Billy Peace,John Wildstrand,Directed,1,131,Knows
510,515,Billy Peace,John Wildstrand,Directed,1,133,Knows
510,515,Billy Peace,John Wildstrand,Directed,1,134,Exchange
510,278,Billy Peace,Lafayette Peace,Directed,1,119,Knows
510,517,Billy Peace,Maggie Peace,Directed,1,118,Knows
510,517,Billy Peace,Maggie Peace,Directed,1,121,Knows
510,517,Billy Peace,Maggie Peace,Directed,1,122,Knows
510,517,Billy Peace,Maggie Peace,Directed,1,123,Knows
510,517,Billy Peace,Maggie Peace,Directed,1,128,Knows
510,517,Billy Peace,Maggie Peace,Directed,1,129,Exchange
510,517,Billy Peace,Maggie Peace,Directed,1,131,Knows
510,518,Billy Peace,Neve Harp,Directed,1,121,Knows
510,518,Billy Peace,Neve Harp,Directed,1,124,Exchange
510,518,Billy Peace,Neve Harp,Directed,1,125,Exchange
510,518,Billy Peace,Neve Harp,Directed,1,126,Knows
510,518,Billy Peace,Neve Harp,Directed,1,129,Knows
510,518,Billy Peace,Neve Harp,Directed,1,130,Knows
510,518,Billy Peace,Neve Harp,Directed,1,133,Knows
511,517,Billy Peace's Father,Maggie Peace,Directed,1,122,Knows
512,510,Billy Peace's Grandfather,Billy Peace,Directed,1,122,Knows
512,510,Billy Peace's Grandfather,Billy Peace,Directed,1,124,Knows
512,514,Billy Peace's Grandfather,Billy Peace's Mother,Directed,1,124,Knows
512,517,Billy Peace's Grandfather,Maggie Peace,Directed,1,122,Knows
513,510,Billy Peace's Grandmother,Billy Peace,Directed,1,124,Knows
513,517,Billy Peace's Grandmother,Maggie Peace,Directed,1,124,Knows
514,510,Billy Peace's Mother,Billy Peace,Directed,1,122,Knows
514,512,Billy Peace's Mother,Billy Peace's Grandfather,Directed,1,124,Knows
307,517,Bonnie,Maggie Peace,Directed,1,123,Knows
313,510,Corwin (Billy's best buddy),Billy Peace,Directed,1,131,Knows
31,515,Corwin Peace,John Wildstrand,Directed,1,130,Knows
31,515,Corwin Peace,John Wildstrand,Directed,1,131,Knows
31,515,Corwin Peace,John Wildstrand,Directed,1,132,Knows
31,517,Corwin Peace,Maggie Peace,Directed,1,130,Knows
31,517,Corwin Peace,Maggie Peace,Directed,1,131,Knows
31,517,Corwin Peace,Maggie Peace,Directed,1,132,Knows
92,522,John F. Kennedy,"""robber"" (held John up)",Directed,1,118,Knows
515,519,John Wildstrand,"""doctor"" (Wildstrand took Neve to)",Directed,1,127,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,118,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,119,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,120,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,121,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,122,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,123,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,124,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,125,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,126,Knows
515,510,John Wildstrand,Billy Peace,Directed,1,127,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,128,Knows
515,510,John Wildstrand,Billy Peace,Directed,1,129,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,130,Knows
515,510,John Wildstrand,Billy Peace,Directed,1,131,Knows
515,510,John Wildstrand,Billy Peace,Directed,1,133,Knows
515,510,John Wildstrand,Billy Peace,Directed,1,134,Exchange
515,31,John Wildstrand,Corwin Peace,Directed,1,120,Knows
515,31,John Wildstrand,Corwin Peace,Directed,1,128,Knows
515,31,John Wildstrand,Corwin Peace,Directed,1,130,Knows
515,31,John Wildstrand,Corwin Peace,Directed,1,131,Knows
515,31,John Wildstrand,Corwin Peace,Directed,1,132,Knows
515,66,John Wildstrand,Eugene Wildstrand,Directed,1,131,Knows
515,57,John Wildstrand,Jesus,Directed,1,130,Knows
515,516,John Wildstrand,John Wildstrand's Employees,Directed,1,118,Knows
