id,Label ,label
427,Clemence Harp,Dot's Mother
423,Corwin Peace,Toddy Crieder
18,Edward Harp,
67,Emil Buckendorf,
292,Emil Buckendorf's First Brother,
293,Emil Buckendorf's Second Brother,
294,Emil Buckendorf's Third Brother,
421,Evelina Harp,Dot Adare
424,Evelina's Former Teachers,Dot's Former Teachers
103,Father Cassidy,
60,God,
17,Joseph Harp,
136,Mary (biblical figure),
425,Other Children (in school with Evelina),Other Children
426,Other Teachers (at Evelina's school),Other Teachers
422,Sister Mary Anita Buckendorf,Sister Mary Anita
428,Sister Mary Anita's Father,Sister Mary Anita's Family
137,The Apostles (biblical figures),
20,Uncle Whitey,
138,Zorro,
