id,Label 
16,Clemence Harp
31,Corwin Peace
18,Edward Harp
67,Emil Buckendorf
292,Emil Buckendorf's First Brother
293,Emil Buckendorf's Second Brother
294,Emil Buckendorf's Third Brother
3,Evelina Harp
139,Evelina's Former Teachers
103,Father Cassidy
60,God
17,Joseph Harp
136,Mary (biblical figure)
32,Other Children (in school with Evelina)
140,Other Teachers (at Evelina's school)
135,Sister Mary Anita Buckendorf
214,Sister Mary Anita's Father
137,The Apostles (biblical figures)
20,Uncle Whitey
138,Zorro
